zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
01354,Gill,MA,NORTHFIELD MT HERMON SCHOOL,MA1106002,750,GW,0,0,0,0.003,,2,83,B,42.6404,-72.4995,0,,,,2,0,true,0
01360,Northfield,MA,NORTHFIELD WATER DISTRICT,MA1217000,800,GW,4,0,0,0.0014,,2,81,B,42.6887,-72.451,0,,,,2,0,true,0
01364,Orange,MA,ORANGE WATER DEPT,MA1223000,6526,SW,0,0,0,0.0012,,2,83,B,42.6129,-72.2924,0,,,,0,0,false,0
01368,Royalston,MA,SOUTH ROYALSTON IMPROVEMENT CORP,MA1255000,275,GW,2,0,2,0.00215,,1,62,C,42.6722,-72.1964,0,,,,0,0,false,0
01370,Shelburne Falls,MA,SHELBURNE FALLS FIRE DISTRICT,MA1268000,1806,GW,0,0,0,0.0039,,2,83,B,42.6022,-72.7391,0,,,,0,0,false,0
01373,South Deerfield,MA,SOUTH DEERFIELD WATER SUPPLY DISTRICT,MA1074001,3800,SW,1,0,0,0.0039,,2,83,B,42.4756,-72.6153,0,,,,4,0,true,0
01375,Sunderland,MA,SUNDERLAND WATER DISTRICT,MA1289000,3190,GW,0,0,0,0.014,,2,60,C,42.4539,-72.5676,0,,,,0,0,false,0
01376,Turners Falls,MA,TURNERS FALLS WATER DEPT,MA1192000,8080,GW,0,0,0,0.0019,,2,83,B,42.5954,-72.5557,0,,,,0,0,false,0
01420,Fitchburg,MA,FITCHBURG DPW  DIVISION OF WATER SUPPLY,MA2097000,41946,SW,0,0,0,0.005,,2,78,B,42.5796,-71.8031,0,,,,0,0,false,0
01430,Ashburnham,MA,ASH/WIN JOINT WATER AUTHORITY,MA2011004,11394,SW,1,0,0,0.0013,,1,70,B,42.6496,-71.9267,0,,,,3,0,true,0
01432,Ayer,MA,AYER DPW  WATER DIVISION,MA2019000,8479,GW,5,0,0,0.0028,,1,68,C,42.5591,-71.5788,0,,,,7,0,true,0
01434,Devens,MA,DEVENS  MASSDEVELOPMENT,MA2019001,6500,GW,1,0,0,0.002,,1,66,C,42.5385,-71.6115,0,,,,2,0,true,0
01436,Baldwinville,MA,TEMPLETON MUNIC. LIGHT AND WATER PLANT,MA2294000,6152,GW,0,0,0,0.0015,,1,66,C,42.5936,-72.0646,0,,,,1,0,true,0
01440,Gardner,MA,GARDNER WATER DEPARTMENT,MA2103000,21287,SW,1,1,0,0.003,,1,69,C,42.574,-71.9898,1,E. coli,,,3,1,true,0
01441,Westminster,MA,WESTMINSTER DEPARTMENT OF PUBLIC WORKS,MA2332000,3741,SW,3,3,0,0.0017,,1,62,C,42.5459,-71.9106,1,Haloacetic Acids (HAA5),,,0,3,false,0
01450,Groton,MA,GROTON WATER DEPARTMENT,MA2115000,5456,GW,0,0,0,0.0047,,1,70,B,42.6124,-71.5584,0,,,,1,0,false,0
01451,Harvard,MA,HARVARD WATER DEPARTMENT,MA2125000,1422,GW,11,0,1,0.003,,1,59,C,42.4986,-71.5753,0,,,,10,2,true,1
01452,Hubbardston,MA,HUBBARDSTON HOUSE APARTMENTS,MA2140010,40,GW,2,0,0,0.0191,3.98,1,32,F,42.4865,-72.0012,0,,,,3,0,true,0
01453,Leominster,MA,LEOMINSTER WATER DIVISION,MA2153000,41683,SW,0,0,0,0.0065,,1,56,C,42.5274,-71.7563,0,,,,3,0,true,0
01460,Littleton,MA,LITTLETON WATER DEPARTMENT,MA2158000,9611,GW,3,0,0,0.005,,1,69,C,42.5401,-71.4877,0,,,,2,0,true,0
01462,Lunenburg,MA,LUNENBURG WATER DISTRICT,MA2162000,7145,GW,0,0,0,0.001,,1,70,B,42.5884,-71.7266,0,,,,1,0,true,0
01463,Pepperell,MA,PEPPERELL DPW WATER DIVISION,MA2232000,9217,GW,152,0,0,0.001,,1,51,D,42.6689,-71.5934,0,,,,3,0,true,0
01464,Shirley,MA,SHIRLEY WATER DISTRICT,MA2270000,4121,GW,5,0,2,0.003,,1,60,C,42.5734,-71.6483,0,,,,10,0,true,0
01468,Templeton,MA,TEMPLETON MUNIC. LIGHT AND WATER PLANT,MA2294000,6152,GW,0,0,0,0.0015,,1,66,C,42.546,-72.065,0,,,,1,0,true,0
01469,Townsend,MA,TOWNSEND WATER DEPARTMENT,MA2299000,6500,GW,23,0,13,0.01,,1,39,F,42.6525,-71.6896,0,,,,9,0,true,0
01470,Groton,MA,GROTON WATER DEPARTMENT,MA2115000,5456,GW,0,0,0,0.0047,,1,66,C,42.6112,-71.5745,0,,,,1,0,false,0
01471,Groton,MA,GROTON WATER DEPARTMENT,MA2115000,5456,GW,0,0,0,0.0047,,1,66,C,42.6112,-71.5745,0,,,,1,0,false,0
01473,Westminster,MA,WESTMINSTER DEPARTMENT OF PUBLIC WORKS,MA2332000,3741,SW,3,3,0,0.0017,,1,67,C,42.5483,-71.9096,1,Haloacetic Acids (HAA5),,,0,3,false,0
01475,Winchendon,MA,WINCHENDON WATER DEPARTMENT,MA2343000,5706,SW,0,0,0,0.001,,1,70,B,42.6789,-72.0475,0,,,,0,0,false,0
01501,Auburn,MA,AUBURN WATER DISTRICT,MA2017000,12255,SW,7,1,0,0.0019,1.7,1,64,C,42.2055,-71.8391,1,Barium,,,10,1,true,0
01503,Berlin,MA,RIVERBRIDGE,MA2028020,1330,GW,3,0,1,0.004,,1,63,C,42.3844,-71.6356,0,,,,8,0,true,0
01504,Blackstone,MA,BLACKSTONE WATER DEPARTMENT,MA2032000,9868,GW,0,0,0,0.0011,,1,70,B,42.0287,-71.5269,0,,,,2,0,true,0
01505,Boylston,MA,BOYLSTON WATER DISTRICT,MA2039000,3343,GW,8,0,5,0.0031,,1,59,C,42.3377,-71.731,0,,,,10,1,true,2
01506,Brookfield,MA,BROOKFIELD WATER DEPARTMENT,MA2045000,1008,GW,1,0,0,0.0022,,1,65,C,42.1991,-72.0989,0,,,,7,0,true,0
01507,Charlton,MA,WOODLAND WALK APARTMENTS,MA2054040,76,GW,3,0,0,0.00055,,1,69,C,42.1379,-71.9664,0,,,,10,0,true,0
01510,Clinton,MA,CLINTON WATER DEPT,MA2064000,15530,SW,0,0,0,0.002,,1,65,C,42.4181,-71.6828,0,,,,0,0,false,0
01515,East Brookfield,MA,EAST BROOKFIELD WATER DEPARTMENT,MA2084000,1526,GW,5,0,0,0.0048,,1,68,C,42.2193,-72.0481,0,,,,9,0,true,0
